company_id,amount,site,representative_id,foundation_date,description,name
1,30,https://ruvds.com,215,2015-07-27,"Международный облачный провайдер RUVDS предлагает в аренду виртуальные серверы, или VPS/VDS. Вам не придется покупать и хранить железо, а также обслуживать и следить за доступностью сервера. Мы делаем это за вас в режиме 24/7. Арендовать серверные мощности и отказаться от них можно в один клик в любое удобное время.


В 2016 году мы начинали с собственного ЦОДа в подмосковном Королеве и сотрудничества с компанией Huawei, ведущим производителем облачных решений. Сегодня у нас одиннадцать дата-центров: три в Москве, по одному в Питере, Казани, Екатеринбурге, Лондоне, Новосибирске, Цюрихе, Франкфурте и Амстердаме. Распределенная сеть снижает риски клиентов и позволяет арендовать мощности, которые не слишком удалены от офиса или места работы: меньше расстояние — выше скорость.


Наша цель — сделать доступными облачные услуги высокого качества. И кажется, мы хорошо справляемся: среди клиентов — крупный бизнес («ФИНАМ», ВЦИОМ, Gett), независимые ИТ-профессионалы и госкомпании, которым предлагаем наш собственный ЦОД в городе Королеве, сертифицированный ФСТЭК.


Всего за два года нам удалось войти в топ-20 российских поставщиков IAAS-услуг (Infrastructure as a Service — инфраструктура как услуга). Но мы не останавливаемся на достигнутом.

Сейчас команда RUVDS активно работает над проектом раздачи интернета из субкосмоса, развивает форум «Облачные технологии» и полезный блог для программистов, а в свободное время проводит турниры по легендарным видеоиграм 90-х GAME OVERNIGHT, делает вкусные хабрабургеры и даже варит пиво для айтишников.",RUVDS.com
2,1000,https://selectel.ru/,547,2007-09-11,"Selectel — ведущий провайдер облачной инфраструктуры и услуг дата-центров.


Компания занимает лидирующие позиции на рынке выделенных серверов и приватных облаков, управляет одной из наиболее быстрорастущих облачных платформ и входит в топ-3 крупнейших операторов дата-центров в России. Провайдер владеет собственной сетью из шести высокотехнологичных дата-центров в Москве, Санкт-Петербурге и Ленинградской области, которые соответствуют стандартам Tier III и PCI DSS.


Каталог продуктов Selectel — один из самых диверсифицированных на рынке. В нем сочетаются разные уровни IT-инфраструктуры:

Приватное облако и выделенные серверы


Selectel – крупнейший российский игрок на рынке bare-metal, предоставляющий широкую линейку серверов. Около 50 готовых конфигураций — от бюджетных серверов за 499 рублей в месяц до более сложных серверных сборок.

Облачная платформа Selectel


Возможность для бизнеса быстро развертывать облачную инфраструктуру, масштабируемую под задачи различных проектов — от сайтов до сложных распределенных приложений.

Аренда стоек


Размещение оборудования клиентов, аренда стоек с поддержкой 24/7 и возможностью удаленного подключения к оборудованию.

Прочие сервисы для комплексного решения задач клиента


Сетевые услуги, администрирование, консалтинг, защита IT-инфраструктуры в соответствии с требованиями 152-ФЗ.


Selectel предлагает комплексные решения для всех типов бизнеса — от индивидуальных предпринимателей до крупных международных корпораций, помогает клиентам уделять больше внимания своим проектам. Продукты компании позволяют бизнесу отказаться от капитальных затрат на собственную IT-инфраструктуру, обеспечить ее масштабируемость и высокую производительность.


Selectel на рынке с 2008 года, у компании более 20 000 клиентов. В 2020 году Selectel стал самым быстрорастущим провайдером IaaS по версии Russian Data Center Awards. Рост выручки компании в прошлом году составил 43 %. 


На сегодняшний день в Selectel работает более 500 сотрудников. Подробнее на сайте: selectel.ru 

Мы в соцсетях:


VK: vk.com/selectel

FB: facebook.com/selectel

Telegram: t.me/SelectelNews

Подписаться на рассылку Selectel",Selectel
3,500,https://cloud.timeweb.com/,451,2006-05-25,"Timeweb Cloud — облачный сервис, сочетающий масс-маркет и Enterprise подходы.


Предоставляем услуги VDS, аренду выделенных серверов, защиту от DDoS, облачные сервисы (балансировщик нагрузки, облачные базы данных). Наши серверы размещаются в России и Европе в дата-центрах уровня TIER III; мы используем самое современное оборудование и высокоскоростные линии связи. Помогаем клиентам с переносом и настройкой проектов, собираем индивидуальные, нестандартные конфигурации и оказываем услуги администрирования. 


Мы работаем на рынке хостинга уже 15 лет и умеем найти решение для любого проекта: от маленького блога до сложного технологичного продукта.

Подключайтесь к Timeweb Cloud и узнайте преимущества:

Домены, SSL-сертификаты, лицензии ПО – заказывайте все в одном интерфейсе.
Гарантируем высокий аптайм наших сервисов.
Следим за доступностью сервисов и мгновенно реагируем на проблемы
Резервируем все основные узлы для полной сохранности данных
Отвечаем в течение 1 минуты по телефону и в чате, в течение 15 минут в тикете.
Предоставляем качественный сервис, благодаря многолетнему опыту работы.

Мы в социальных сетях:
Telegram
YouTube
Instagram
VK",Timeweb Cloud
4,10000,http://www.yandex.ru/,829,1997-09-23,"Яндекс — технологическая компания. В основе наших сервисов лежат сложные, уникальные, трудно воспроизводимые технологии. Именно они позволяют нам делать то, что еще некоторое время назад люди приняли бы за волшебство.",Яндекс
5,50,http://habr.com/,827,2006-05-26,"Хабр любят тебя, %username%.",Хабр
6,50,https://itsoft.ru,100,1999-05-01,"Веб-студия ITSOFT входит в ТОП-100 различных рейтингов. В сфере разработки сайтов для фарм-компаний является одним из ведущих разработчиков. 

Дата-центр ITSOFT предоставляет услуги размещения и аренды серверов и стоек в ЦОД Тушино и в полностью сертифицированном Tier III ЦОД Nord-4. За последние годы UPTIME 100%.

Майнинг-отель предлагает размещение асиков и GPU-ферм в Москве.


В компании работает выделенный отдел поддержки, который обеспечит качественную работу сайтов и серверов.",ITSOFT
14,5000,https://jet.su,403,1991-01-01,"Мы – компания «Инфосистемы Джет» – появились в 1991 году. Все этапы становления российского ИТ-рынка – от начального, когда ИТ считались своеобразным «украшением», до настоящего времени, когда успех и развитие компании во многом определяются уровнем ИТ, используемых в производственных процессах, в управлении компанией и ее бизнесом – «Джет» прошел вместе со своими клиентами. Нам доверяют ЦБ РФ, ВТБ, ВТБ24, ЮниКредит Банк, РОСНО, «Росгосстрах», «Газпром», «Лукойл», ТНК-BP, МТС, «ВымпелКом», «Казахтелеком», Группа компаний Danone-Юнимилк, Корпорация «Иркут», «М.Видео», «Лоялти Партнерс Восток» (МАЛИНА) и другие компании – лидеры отраслевых рынков.


Свой путь мы начинали с создания ИТ-инфраструктур корпоративного уровня. Сейчас мы – интегратор широкого профиля с богатым портфелем решений и услуг: программные разработки и бизнес-решения, ИТ- и телекоммуникационная инфраструктура, информационная безопасность, ИТ-аутсорсинг и техподдержка, управление комплексными проектами и т.д. Мы знаем специфику бизнеса наших заказчиков и предлагаем учитывающие ее решения.",Инфосистемы Джет
7,200,https://flant.ru/,889,2008-05-13,"Компания «Флант» — специалисты по Kubernetes и DevOps. На рынке — с 2008 года. Сопровождаем production (и связанные окружения) любых масштабов в режиме 24×7 и под ключ, с помощью постоянной команды квалифицированных инженеров.


Внедряем отточенные многолетней практикой DevOps-процессы, помогаем разработчикам правильно и эффективно использовать контейнеры, K8s и другие технологии для реализации CI/CD и связанных задач, бизнесу — достигать своих целей. Обслуживаем 2000+ приложений в production. Ориентируемся на долгосрочное сотрудничество.


«Флант» — это:

 Первая в России услуга Managed Kubernetes без зависимости от провайдера.
 Первая Kubernetes-платформа, полностью созданная в России, — Deckhouse.
 Первый в России сертифицированный поставщик услуг по Kubernetes (статус KCSP в CNCF).
 Десятки инженеров, сертифицированных как Certified Kubernetes Administrators (CKA).
 Авторы werf, shell-operator и множества других Open Source-проектов, а также контрибьюторы в Kubernetes и связанную cloud native-экосистему.


P.S. Регулярно выступаем на конференциях — записи докладов см. в YouTube.",Флант
8,10000,https://mvideoeldorado.ru,843,1993-03-03,"Группа «М.Видео-Эльдорадо» – крупнейший продавец бытовой техники и электроники в России, входит в ТОП-10 в мире!

За 28 лет работы мы прошли путь от небольшого магазина в Москве до лидера в своём секторе и самого крупного публичного онлайн-ритейлера в России.

Сегодня у нас больше 1000 магазинов «М.Видео» и «Эльдорадо» по всей стране, сеть цифровых салонов m_mobile, а также маркетплейс Goods. 

Мы знаем всё о новых технологиях и внедряем инновации, меняя российский рынок. Например, у нас есть собственный Data Science Centre, который помогает нам планировать логистические операции, маркетинговые кампании и делать персональные предложения клиентам. Ещё у нас есть блокчейн в расчётах с поставщиками, биометрия и дополненная реальность в рознице. Мы строим ONE RETAIL – абсолютно бесшовный формат, объединяющий лучшее в онлайн и офлайн.",М.Видео-Эльдорадо
9,10000,https://vk.com/vkteam,224,1998-10-15,"Строим сервисы, используя силу социальных сетей. 

Помогаем людям и компаниям объединяться вокруг того, что действительно важно.",VK
