user_bookmark_id,user_id,bookmark_id
1,857,303
2,934,72
3,890,457
4,986,474
5,939,149
6,983,311
7,360,343
8,565,49
9,735,53
10,102,441
11,389,385
12,601,60
13,119,465
14,599,30
15,638,7
16,983,21
17,68,177
18,572,338
19,381,178
20,858,282
21,576,273
22,448,353
23,375,57
24,599,204
25,295,294
26,27,141
27,373,237
28,204,265
29,31,27
30,821,400
31,258,215
32,388,419
33,901,333
34,366,39
35,966,403
36,352,420
37,773,339
38,459,35
39,758,249
40,637,372
41,708,442
42,106,289
43,677,384
44,519,184
45,563,105
46,418,181
47,692,487
48,710,250
49,237,240
50,414,414
51,965,144
52,563,68
53,772,14
54,258,19
55,679,290
56,884,404
57,493,310
58,265,150
59,533,268
60,65,24
61,831,370
62,285,60
63,759,384
64,365,38
65,870,312
66,71,172
67,822,178
68,54,292
69,455,73
70,510,357
71,379,44
72,815,363
73,29,12
74,548,43
75,208,413
76,1,309
77,140,423
78,40,333
79,209,208
80,920,122
81,307,466
82,615,84
83,789,180
84,233,387
85,488,318
86,240,116
87,888,59
88,181,281
89,774,140
90,575,319
91,945,356
92,1000,67
93,149,194
94,781,293
95,159,427
96,295,375
97,838,261
98,532,473
99,944,278
100,652,208
101,379,91
102,480,451
103,668,199
104,955,62
105,488,137
106,750,110
107,745,168
108,949,38
109,850,62
110,79,145
111,387,49
112,598,319
113,645,450
114,66,36
115,365,476
116,170,216
117,854,236
118,374,451
119,922,230
120,545,310
121,947,264
122,464,41
123,973,92
124,42,106
125,61,268
126,562,338
127,285,414
128,24,302
129,486,246
130,462,426
131,609,388
132,72,437
133,792,177
134,937,278
135,58,50
136,43,305
137,286,105
138,170,300
139,202,145
140,121,279
141,655,18
142,989,150
143,635,52
144,416,255
145,665,213
146,786,286
147,173,406
148,431,172
149,251,489
150,584,125
151,297,91
152,641,374
153,321,405
154,949,409
155,187,425
156,453,262
157,261,62
158,582,97
159,766,120
160,284,151
161,748,14
162,898,270
163,122,148
164,31,210
165,226,2
166,641,188
167,816,300
168,598,467
169,74,400
170,764,38
171,728,140
172,632,395
173,777,354
174,423,375
175,730,86
176,482,89
177,592,52
178,540,13
179,755,366
180,681,78
181,791,112
182,346,163
183,239,238
184,608,59
185,651,427
186,401,460
187,650,243
188,758,87
189,290,16
190,397,387
191,516,57
192,941,422
193,958,347
194,784,360
195,914,172
196,722,236
197,530,286
198,99,47
199,653,392
200,405,281
201,320,22
202,638,113
203,679,225
204,197,133
205,315,320
206,454,200
207,367,373
208,957,214
209,923,43
210,532,277
211,385,190
212,153,161
213,320,337
214,125,235
215,771,110
216,331,230
217,548,337
218,198,41
219,912,177
220,22,439
221,224,376
222,695,427
223,148,256
224,793,443
225,608,349
226,81,366
227,161,306
228,999,124
229,785,104
230,56,414
231,94,189
232,466,203
233,444,260
234,604,25
235,385,481
236,12,288
237,854,458
238,238,8
239,850,238
240,809,143
241,659,351
242,702,227
243,74,103
244,984,427
245,975,20
246,631,37
247,190,124
248,65,85
249,179,23
250,956,19
251,233,251
252,185,4
253,824,436
254,401,426
255,497,83
256,984,322
257,802,452
258,631,3
259,57,349
260,229,32
261,914,310
262,904,260
263,529,90
